/vref_c (temperature=0) X,/vref_c (temperature=0) Y,/vref_c (temperature=27) X,/vref_c (temperature=27) Y,/vref_c (temperature=100) X,/vref_c (temperature=100) Y,/vref_p (temperature=0) X,/vref_p (temperature=0) Y,/vref_p (temperature=27) X,/vref_p (temperature=27) Y,/vref_p (temperature=100) X,/vref_p (temperature=100) Y
5.451504018579124e-12,-6.320644286292982e-05,5.693886677084117e-12,-6.661862780726893e-05,6.704783554584809e-12,-7.464569780247096e-05,5.451504018579124e-12,-4.781830108717934e-05,5.693886677084117e-12,-4.836695049627871e-05,6.704783554584809e-12,-5.039847635281534e-05
5.603705690425114e-12,-6.327537813874055e-05,5.870506925014115e-12,-6.675842824765437e-05,6.995034633614982e-12,-7.504956162133485e-05,5.603705690425114e-12,-4.847143436867322e-05,5.870506925014115e-12,-4.91575462237592e-05,6.995034633614982e-12,-5.163841840833003e-05
5.762661086712158e-12,-6.332865598538766e-05,6.1518158839025e-12,-6.692889828146155e-05,7.443736642732747e-12,-7.553968480416017e-05,5.762661086712158e-12,-4.913449414671298e-05,6.1518158839025e-12,-5.035017402548985e-05,7.443736642732747e-12,-5.344515523356617e-05
5.991889573460331e-12,-6.337675966019457e-05,6.353465025316218e-12,-6.701533768165871e-05,7.788126770748718e-12,-7.581799822905711e-05,5.991889573460331e-12,-5.004465004573698e-05,6.353465025316218e-12,-5.115239495249259e-05,7.788126770748718e-12,-5.474320379121728e-05
6.192307887848753e-12,-6.339413225176073e-05,6.554746717200324e-12,-6.707550338163689e-05,8.47690702678066e-12,-7.617629012026662e-05,6.192307887848753e-12,-5.079027528816386e-05,6.554746717200324e-12,-5.191318944978986e-05,8.47690702678066e-12,-5.712186847993278e-05
6.369755538707762e-12,-6.339216263548084e-05,6.868227757539813e-12,-6.712530087357988e-05,9.007100747196271e-12,-7.630194378463332e-05,6.369755538707762e-12,-5.141289542388674e-05,6.868227757539813e-12,-5.303250575819095e-05,9.007100747196271e-12,-5.876886992158642e-05
6.586733844331935e-12,-6.337095220876492e-05,7.124946146796998e-12,-6.713119632542947e-05,1.003069078995559e-11,-7.628729697197769e-05,6.586733844331935e-12,-5.213432061348736e-05,7.124946146796998e-12,-5.389428737203527e-05,1.003069078995559e-11,-6.15525037504001e-05
6.894594740179913e-12,-6.331139445420289e-05,7.382697794643304e-12,-6.711035500460294e-05,1.097382212604479e-11,-7.605163102467691e-05,6.894594740179913e-12,-5.309482313631853e-05,7.382697794643304e-12,-5.471015819612152e-05,1.097382212604479e-11,-6.370340465179942e-05
7.116943084153328e-12,-6.324937715015722e-05,7.722137756460869e-12,-6.704898385824611e-05,1.286008479822318e-11,-7.523003695864531e-05,7.116943084153328e-12,-5.374396917939394e-05,7.722137756460869e-12,-5.57098384026113e-05,1.286008479822318e-11,-6.704188811218596e-05
7.388353292368704e-12,-6.315622684322231e-05,8.042405880371705e-12,-6.696130935116641e-05,1.502887526090803e-11,-7.398199686655237e-05,7.388353292368704e-12,-5.448475777129764e-05,8.042405880371705e-12,-5.657993643139614e-05,1.502887526090803e-11,-6.962239177357172e-05
7.769004606371496e-12,-6.300002359508864e-05,8.428865670039169e-12,-6.682500350176122e-05,1.744693677264375e-11,-7.243473008070103e-05,7.769004606371496e-12,-5.543258456956361e-05,8.428865670039169e-12,-5.754446980623198e-05,1.744693677264375e-11,-7.131725034592607e-05
8.067903987110524e-12,-6.286012530594781e-05,8.94535756741143e-12,-6.660287442993766e-05,2.022851783520926e-11,-7.060688606330845e-05,8.067903987110524e-12,-5.610849103912738e-05,8.94535756741143e-12,-5.870010404952968e-05,2.022851783520926e-11,-7.218303460479041e-05
8.576871130834701e-12,-6.259449571475644e-05,9.447532479075546e-12,-6.63514755788886e-05,2.327427305228109e-11,-6.862112042367599e-05,8.576871130834701e-12,-5.713724236185437e-05,9.447532479075546e-12,-5.96883275419334e-05,2.327427305228109e-11,-7.223592071896441e-05
9.011031030521778e-12,-6.234847746829626e-05,1.038406255754254e-11,-6.582714550151492e-05,2.668463767160072e-11,-6.644209727277566e-05,9.011031030521778e-12,-5.790273872686431e-05,1.038406255754254e-11,-6.122493336751111e-05,2.668463767160072e-11,-7.159067227168856e-05
9.584969942711948e-12,-6.200518357369437e-05,1.126074326825877e-11,-6.529100516028884e-05,3.060076361702814e-11,-6.399627770317494e-05,9.584969942711948e-12,-5.877271759192868e-05,1.126074326825877e-11,-6.234912023389295e-05,3.060076361702814e-11,-7.030638974983066e-05
1.026441457041951e-11,-6.158009769511857e-05,1.274898955840127e-11,-6.433723969602326e-05,3.518961092760414e-11,-6.119377555102556e-05,1.026441457041951e-11,-5.96199264170282e-05,1.274898955840127e-11,-6.370788856168187e-05,3.518961092760414e-11,-6.840268759429488e-05
1.117255086103249e-11,-6.099602650948708e-05,1.48288734040542e-11,-6.297411079611421e-05,4.070706261320829e-11,-5.789767503518526e-05,1.117255086103249e-11,-6.049167886715675e-05,1.48288734040542e-11,-6.474371674368934e-05,4.070706261320829e-11,-6.584780642979991e-05
1.233118923298682e-11,-6.02367227850129e-05,1.711743074404707e-11,-6.147568343552916e-05,4.754515361758196e-11,-5.390490042844774e-05,1.233118923298682e-11,-6.125108655532276e-05,1.711743074404707e-11,-6.506752133453439e-05,4.754515361758196e-11,-6.254040343987861e-05
1.420571151256951e-11,-5.900687152226943e-05,1.971165657906473e-11,-5.980119776437351e-05,5.635906703143301e-11,-4.888609146679193e-05,1.420571151256951e-11,-6.186585506822958e-05,1.971165657906473e-11,-6.476878628728904e-05,5.635906703143301e-11,-5.825911248710895e-05
